Bin1: centrality∈[0,10％]
Bin2: centrality∈[10％,20％]
Bin3: centrality∈[20％,30％]
Bin4: centrality∈[30％,100％]
Bin5: centrality∈[0,100％]
Bin2: ΔM=-0.10144307GeV	Δσ=0.02277191GeV
Bin3: ΔM=-0.11541260GeV	Δσ=0.03595406GeV
Bin4: ΔM=-0.12774249GeV	Δσ=0.05643129GeV
Bin5: ΔM=-0.09065258GeV	Δσ=0.04487469GeV
x=0.6 tauB=0.4fm/c a=3.
Bin1: ΔM=-0.05286318GeV	Δσ=0.02582843GeV
Bin2: ΔM=-0.09114371GeV	Δσ=0.02267604GeV
Bin3: ΔM=-0.10412608GeV	Δσ=0.03618183GeV
Bin4: ΔM=-0.11592740GeV	Δσ=0.05723474GeV
Bin5: ΔM=-0.08165612GeV	Δσ=0.04289207GeV
x=0.8 tauB=0.08fm/c a=1.
Bin1: ΔM=-0.06273632GeV	Δσ=0.02971346GeV
Bin2: ΔM=-0.10514881GeV	Δσ=0.01576671GeV
Bin3: ΔM=-0.11343617GeV	Δσ=0.02219586GeV
Bin4: ΔM=-0.11701822GeV	Δσ=0.03455079GeV
Bin5: ΔM=-0.09094398GeV	Δσ=0.03599001GeV
x=0.8 tauB=0.08fm/c a=1.5
Bin1: ΔM=-0.02513400GeV	Δσ=0.01174412GeV
Bin2: ΔM=-0.04322238GeV	Δσ=0.00209752GeV
Bin3: ΔM=-0.04844487GeV	Δσ=0.00317619GeV
Bin4: ΔM=-0.05236780GeV	Δσ=0.00685811GeV
Bin5: ΔM=-0.03814559GeV	Δσ=0.01403417GeV
x=0.8 tauB=0.08fm/c a=2.
Bin1: ΔM=-0.01476738GeV	Δσ=0.00691244GeV
Bin2: ΔM=-0.02565489GeV	Δσ=0.00160475GeV
Bin3: ΔM=-0.02938659GeV	Δσ=0.00260342GeV
Bin4: ΔM=-0.03281613GeV	Δσ=0.00487584GeV
Bin5: ΔM=-0.02298241GeV	Δσ=0.00888234GeV
x=0.8 tauB=0.08fm/c a=2.5
Bin1: ΔM=-0.01034694GeV	Δσ=0.00483207GeV
Bin2: ΔM=-0.01791291GeV	Δσ=0.00134311GeV
Bin3: ΔM=-0.02063318GeV	Δσ=0.00226453GeV
Bin4: ΔM=-0.02340595GeV	Δσ=0.00401727GeV
Bin5: ΔM=-0.01616657GeV	Δσ=0.00639719GeV
x=0.8 tauB=0.08fm/c a=3.
Bin1: ΔM=-0.00820989GeV	Δσ=0.00382438GeV
Bin2: ΔM=-0.01410949GeV	Δσ=0.00120881GeV
Bin3: ΔM=-0.01624409GeV	Δσ=0.00206570GeV
Bin4: ΔM=-0.01850892GeV	Δσ=0.00360579GeV
Bin5: ΔM=-0.01277038GeV	Δσ=0.00511292GeV
x=0.8 tauB=0.16fm/c a=1.
Bin1: ΔM=-0.10070427GeV	Δσ=0.05346680GeV
Bin2: ΔM=-0.16910418GeV	Δσ=0.06549447GeV
Bin3: ΔM=-0.18263577GeV	Δσ=0.09353686GeV
Bin4: ΔM=-0.18921198GeV	Δσ=0.13142155GeV
Bin5: ΔM=-0.14639184GeV	Δσ=0.09055284GeV
x=0.8 tauB=0.16fm/c a=1.5
Bin1: ΔM=-0.04831852GeV	Δσ=0.02268957GeV
Bin2: ΔM=-0.08254276GeV	Δσ=0.00885874GeV
Bin3: ΔM=-0.09189729GeV	Δσ=0.01360725GeV
Bin4: ΔM=-0.09883878GeV	Δσ=0.02276322GeV
Bin5: ΔM=-0.07267804GeV	Δσ=0.02831905GeV
x=0.8 tauB=0.16fm/c a=2.
Bin1: ΔM=-0.03267765GeV	Δσ=0.01539822GeV
Bin2: ΔM=-0.05632963GeV	Δσ=0.00734175GeV
Bin3: ΔM=-0.06400320GeV	Δσ=0.01174451GeV
Bin4: ΔM=-0.07050962GeV	Δσ=0.01904108GeV
Bin5: ΔM=-0.05021394GeV	Δσ=0.02088905GeV
x=0.8 tauB=0.16fm/c a=2.5
Bin1: ΔM=-0.02510603GeV	Δσ=0.01189619GeV
Bin2: ΔM=-0.04336867GeV	Δσ=0.00691336GeV
Bin3: ΔM=-0.04964288GeV	Δσ=0.01124333GeV
Bin4: ΔM=-0.05551252GeV	Δσ=0.01811287GeV
Bin5: ΔM=-0.03891138GeV	Δσ=0.01728436GeV
x=0.8 tauB=0.16fm/c a=3.
Bin1: ΔM=-0.02111090GeV	Δσ=0.01003499GeV
Bin2: ΔM=-0.03636088GeV	Δσ=0.00665259GeV
Bin3: ΔM=-0.04173471GeV	Δσ=0.01094365GeV
Bin4: ΔM=-0.04695255GeV	Δσ=0.01762055GeV
Bin5: ΔM=-0.03273932GeV	Δσ=0.01529232GeV
x=0.8 tauB=0.24fm/c a=1.
Bin1: ΔM=-0.13208144GeV	Δσ=0.08456553GeV
Bin2: ΔM=-0.22204537GeV	Δσ=0.14455612GeV
Bin3: ΔM=-0.24024711GeV	Δσ=0.20493169GeV
Bin4: ΔM=-0.24874504GeV	Δσ=0.28203259GeV
Bin5: ΔM=-0.19227951GeV	Δσ=0.17735887GeV
x=0.8 tauB=0.24fm/c a=1.5
Bin1: ΔM=-0.06950676GeV	Δσ=0.03318909GeV
Bin2: ΔM=-0.11852849GeV	Δσ=0.02103869GeV
Bin3: ΔM=-0.13197105GeV	Δσ=0.03165131GeV
Bin4: ΔM=-0.14180635GeV	Δσ=0.05021549GeV
Bin5: ΔM=-0.10439394GeV	Δσ=0.04570458GeV
x=0.8 tauB=0.24fm/c a=2.
Bin1: ΔM=-0.05042851GeV	Δσ=0.02414137GeV
Bin2: ΔM=-0.08669117GeV	Δσ=0.01655089GeV
Bin3: ΔM=-0.09802814GeV	Δσ=0.02600465GeV
Bin4: ΔM=-0.10741966GeV	Δσ=0.04076076GeV
Bin5: ΔM=-0.07707004GeV	Δσ=0.03545692GeV
x=0.8 tauB=0.24fm/c a=2.5
Bin1: ΔM=-0.04062528GeV	Δσ=0.01964973GeV
Bin2: ΔM=-0.06995515GeV	Δσ=0.01598714GeV
Bin3: ΔM=-0.07984759GeV	Δσ=0.02572692GeV
Bin4: ΔM=-0.08882786GeV	Δσ=0.04058228GeV
Bin5: ΔM=-0.06265703GeV	Δσ=0.03161246GeV
x=0.8 tauB=0.24fm/c a=3.
Bin1: ΔM=-0.03516950GeV	Δσ=0.01719128GeV
Bin2: ΔM=-0.06054411GeV	Δσ=0.01577806GeV
Bin3: ΔM=-0.06930781GeV	Δσ=0.02563816GeV
Bin4: ΔM=-0.07753026GeV	Δσ=0.04065712GeV
Bin5: ΔM=-0.05437814GeV	Δσ=0.02951035GeV
x=0.8 tauB=0.32fm/c a=1.
Bin1: ΔM=-0.15924965GeV	Δσ=0.12528906GeV
Bin2: ΔM=-0.26888762GeV	Δσ=0.24762656GeV
Bin3: ΔM=-0.29080047GeV	Δσ=0.34812118GeV
Bin4: ΔM=-0.29990715GeV	Δσ=0.46825807GeV
Bin5: ΔM=-0.23230244GeV	Δσ=0.28883248GeV
x=0.8 tauB=0.32fm/c a=1.5
Bin1: ΔM=-0.08927246GeV	Δσ=0.04396666GeV
Bin2: ΔM=-0.15245981GeV	Δσ=0.03880449GeV
Bin3: ΔM=-0.16964399GeV	Δσ=0.05869456GeV
Bin4: ΔM=-0.18265679GeV	Δσ=0.09113076GeV
Bin5: ΔM=-0.13425290GeV	Δσ=0.06864880GeV
x=0.8 tauB=0.32fm/c a=2.
Bin1: ΔM=-0.06767937GeV	Δσ=0.03307243GeV
Bin2: ΔM=-0.11630715GeV	Δσ=0.02852776GeV
Bin3: ΔM=-0.13116288GeV	Δσ=0.04411205GeV
Bin4: ΔM=-0.14358019GeV	Δσ=0.06809190GeV
Bin5: ΔM=-0.10325938GeV	Δσ=0.05248621GeV
x=0.8 tauB=0.32fm/c a=2.5
Bin1: ΔM=-0.05622881GeV	Δσ=0.02787267GeV
Bin2: ΔM=-0.09672145GeV	Δσ=0.02764343GeV
Bin3: ΔM=-0.11012554GeV	Δσ=0.04362756GeV
Bin4: ΔM=-0.12210115GeV	Δσ=0.06794398GeV
Bin5: ΔM=-0.08648728GeV	Δσ=0.04839207GeV
x=0.8 tauB=0.32fm/c a=3.
Bin1: ΔM=-0.04960801GeV	Δσ=0.02492231GeV
Bin2: ΔM=-0.08527894GeV	Δσ=0.02741956GeV
Bin3: ΔM=-0.09767718GeV	Δσ=0.04384909GeV
Bin4: ΔM=-0.10894332GeV	Δσ=0.06870276GeV
Bin5: ΔM=-0.07658520GeV	Δσ=0.04640571GeV
x=0.8 tauB=0.4fm/c a=1.
Bin1: ΔM=-0.18390120GeV	Δσ=0.17523733GeV
Bin2: ΔM=-0.31119168GeV	Δσ=0.37002183GeV
Bin3: ΔM=-0.33526391GeV	Δσ=0.51418090GeV
Bin4: ΔM=-0.34336568GeV	Δσ=0.67822087GeV
Bin5: ΔM=-0.26782679GeV	Δσ=0.41798791GeV
x=0.8 tauB=0.4fm/c a=1.5
Bin1: ΔM=-0.10790729GeV	Δσ=0.05561421GeV
